day,stage,model,accuracy,sensitivity,specificity,auc,threshold,precision,f1,best_params
Day 1,Full feature baseline,Logistic Regression,0.8816173972137274,0.8812698412698413,0.8819254185692541,0.9434137252059627,,,,
Day 1,Full feature baseline,Random Forest,0.9020047570506285,0.8023809523809524,0.9505327245053271,0.9583918605493948,,,,
Day 2/4,Stage 1,Calibrated XGBoost,0.7614678899082569,0.8611111111111112,0.7123287671232876,0.8898401826484018,0.16,0.5961538461538461,0.7045454545454546,"{""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 2}"
Day 2/4,Stage 2,Calibrated XGBoost,0.7614678899082569,0.9166666666666666,0.684931506849315,0.8987823439878234,0.21000000000000005,0.5892857142857143,0.717391304347826,"{""max_depth"": 3, ""learning_rate"": 0.03, ""min_child_weight"": 3}"
Day 2/4,Stage 3,Calibrated XGBoost,0.8623853211009175,0.9444444444444444,0.821917808219178,0.9568112633181126,0.22000000000000006,0.723404255319149,0.8192771084337349,"{""max_depth"": 2, ""learning_rate"": 0.04, ""min_child_weight"": 2}"
