day,stage,model,accuracy,sensitivity,specificity,auc
Day 1,Full feature baseline,Logistic Regression,0.8816173972137274,0.8812698412698413,0.8819254185692541,0.9434137252059627
Day 1,Full feature baseline,Random Forest,0.9020047570506285,0.8023809523809524,0.9505327245053271,0.9583918605493948
