stage,num_features,accuracy,sensitivity_recall,specificity,precision,f1,auc
stage1,11,0.8532110091743119,0.6944444444444444,0.9315068493150684,0.8333333333333334,0.7575757575757576,0.9016362252663622
stage2,22,0.8715596330275229,0.7222222222222222,0.9452054794520548,0.8666666666666667,0.7878787878787878,0.8991628614916286
stage3,27,0.926605504587156,0.8333333333333334,0.9726027397260274,0.9375,0.8823529411764706,0.9501522070015221
